transaction_id,date,fund_id,transaction_amount,fee_amount,status
TX00001,2024-09-30,FND003,434760.5527008752,2285.1135038192456,Completed
TX00002,2025-08-31,FND005,321343.77872118977,2077.1168030839945,Completed
TX00003,2025-01-31,FND009,196062.09195685183,1245.0505570158455,Failed
TX00004,2023-11-30,FND003,298926.41153095016,2117.1675949581586,Failed
TX00005,2025-08-31,FND003,302006.48569647275,1218.6095169011342,Completed
TX00006,2023-03-31,FND004,43743.46654861884,395.77854407416964,Completed
TX00007,2023-04-30,FND001,114101.54471126702,478.65218647122384,Completed
TX00008,2025-08-31,FND002,335131.705450847,546.0583900277167,Completed
TX00009,2023-03-31,FND006,296813.18383505795,2113.6622989233733,Completed
TX00010,2024-05-31,FND002,497075.5412493626,3457.9322028791385,Failed
TX00011,2025-12-31,FND007,233137.60052957537,359.3305735271479,Failed
TX00012,2025-06-30,FND009,86068.49114878486,403.25675985180123,Completed
TX00013,2023-03-31,FND001,151125.70106827427,1485.7360159465452,Pending
TX00014,2023-05-31,FND007,200258.64198884476,474.96225661097225,Completed
TX00015,2024-09-30,FND008,270438.6080099992,2319.9034162730986,Completed
TX00016,2025-09-30,FND006,45473.09162589229,354.57342092809023,Completed
TX00017,2025-12-31,FND006,80492.70628887117,126.21105806320338,Completed
TX00018,2023-02-28,FND002,171495.5764465635,759.4142643100073,Pending
TX00019,2024-11-30,FND009,255352.39912909738,2152.0014884757725,Pending
TX00020,2024-03-31,FND002,258324.0344205524,2395.833428032139,Failed
TX00021,2024-06-30,FND005,196130.33876602905,1080.7521062946405,Completed
TX00022,2023-03-31,FND008,266708.1150871537,1998.3901929228673,Completed
TX00023,2025-11-30,FND004,409548.7670330608,1598.367187979052,Completed
TX00024,2024-06-30,FND002,112583.60281365931,1082.5933407900052,Completed
TX00025,2025-09-30,FND009,288006.51189781586,1530.5213142993136,Pending
TX00026,2023-03-31,FND001,303520.2159377377,2392.737339230116,Failed
TX00027,2023-08-31,FND006,74040.62208896231,318.95291747911364,Completed
TX00028,2023-12-31,FND004,68447.97828825656,661.7575185125849,Failed
TX00029,2023-06-30,FND004,220316.33262782215,429.83323415123976,Completed
TX00030,2023-05-31,FND002,325450.34510667855,770.7392133462744,Completed
TX00031,2025-07-31,FND010,106665.9199820737,571.8801869193351,Completed
TX00032,2024-09-30,FND009,215738.25157695168,547.1085011153651,Completed
TX00033,2025-09-30,FND003,89705.42753777286,648.0824678469734,Completed
TX00034,2025-05-31,FND007,115218.4078184602,356.4638446718028,Completed
TX00035,2025-11-30,FND006,213615.60856129538,464.9115986150005,Completed
TX00036,2024-10-31,FND006,413941.40988787025,3147.001748920301,Failed
TX00037,2024-03-31,FND007,208660.845091701,1112.5999422332716,Completed
TX00038,2023-01-31,FND007,69417.74315877052,403.8579340979438,Completed
TX00039,2024-06-30,FND010,121359.5273421712,1187.2437261157968,Completed
TX00040,2023-11-30,FND004,186332.87525742024,632.1641354066844,Completed
TX00041,2023-04-30,FND004,133743.61972468498,313.38002532921297,Pending
TX00042,2025-05-31,FND002,238533.0465550145,1045.4890469364577,Completed
TX00043,2024-05-31,FND005,478154.8731338252,1051.1302663644503,Completed
TX00044,2025-05-31,FND009,344379.2183371845,1700.6920145741374,Completed
TX00045,2024-09-30,FND002,20174.748132200173,183.91013773090936,Pending
TX00046,2023-08-31,FND007,330017.60718068556,2988.6591415772577,Completed
TX00047,2024-07-31,FND001,34259.36823978429,194.10235014029462,Completed
TX00048,2023-08-31,FND001,222193.2706343655,317.8424484187864,Completed
TX00049,2024-12-31,FND001,36970.08366333801,60.67938834685381,Completed
TX00050,2025-12-31,FND004,369016.67137004447,1542.2176016699484,Completed
TX00051,2023-05-31,FND003,331023.9349241368,882.7614253781303,Completed
TX00052,2025-08-31,FND006,382421.95844864624,1294.6581262474474,Completed
TX00053,2025-01-31,FND001,148426.9439612327,1175.9879134819157,Failed
TX00054,2023-04-30,FND002,6203.421999304131,20.463360667641105,Completed
TX00055,2023-10-31,FND009,479953.43251988856,2545.8158647926143,Completed
TX00056,2025-08-31,FND008,57864.36072244426,310.97114815137724,Completed
TX00057,2024-06-30,FND002,64919.77743673381,262.56203826591053,Completed
TX00058,2025-01-31,FND009,188620.4520807144,1122.4477665372879,Completed
TX00059,2025-08-31,FND004,121105.66320441998,253.5362060189723,Completed
TX00060,2025-08-31,FND001,323259.5955149478,1155.0586129148028,Completed
TX00061,2024-06-30,FND007,423410.65500644874,3925.1602246066113,Completed
TX00062,2023-07-31,FND005,489220.24212149734,3783.4958706890056,Completed
TX00063,2025-04-30,FND006,376840.480620788,1290.2949037059918,Completed
TX00064,2025-03-31,FND002,54863.91360858571,393.2470939794338,Failed
TX00065,2024-10-31,FND003,76187.37774722882,310.9551804638465,Completed
TX00066,2024-07-31,FND001,254671.9129112237,936.6670124414493,Completed
TX00067,2023-08-31,FND007,289009.21886048745,2570.5190811839343,Completed
TX00068,2023-01-31,FND008,124092.75339628989,935.4304635845651,Completed
TX00069,2025-01-31,FND003,201345.66361478282,1651.1630447996724,Completed
TX00070,2024-01-31,FND007,307874.1419302251,2213.909712620665,Completed
TX00071,2023-12-31,FND004,3609.5771579134557,28.33127094093893,Completed
TX00072,2023-11-30,FND009,479078.66657957074,2065.531747206364,Completed
TX00073,2023-04-30,FND007,235689.20799679102,1300.639562722199,Completed
TX00074,2025-11-30,FND004,361313.3981631658,3243.0630780624206,Completed
TX00075,2024-09-30,FND006,206898.29858346324,1502.198197349208,Completed
TX00076,2024-05-31,FND004,91478.3206828271,410.6518854703955,Completed
TX00077,2024-04-30,FND004,255544.74653691376,1919.305333784799,Completed
TX00078,2025-10-31,FND004,280769.3871136693,1805.7371476421747,Completed
TX00079,2024-07-31,FND003,135640.53934397895,1142.8318621842773,Completed
TX00080,2024-07-31,FND010,354132.78643571696,2867.602520214811,Completed
TX00081,2025-09-30,FND004,62066.001905263794,472.9150332675532,Completed
TX00082,2023-11-30,FND004,32208.57122178685,264.5065216683967,Completed
TX00083,2023-04-30,FND006,321640.0345680606,1541.0521803771626,Completed
TX00084,2023-09-30,FND006,495572.0894788305,3828.2826410503185,Failed
TX00085,2023-03-31,FND005,93053.65031368604,396.41962138230707,Completed
TX00086,2023-06-30,FND001,293319.2628399791,1841.5497977666444,Completed
TX00087,2025-02-28,FND003,470398.9433125549,1568.155235686028,Pending
TX00088,2023-05-31,FND005,240972.09437578177,1184.769084534452,Completed
TX00089,2025-11-30,FND010,41220.1553648052,311.27209733127023,Completed
TX00090,2025-07-31,FND009,4507.572702995959,6.831326768600208,Pending
TX00091,2025-06-30,FND009,478350.69592064555,775.2257319412575,Completed
TX00092,2023-10-31,FND007,124242.42073692792,1137.5997867276928,Completed
TX00093,2023-06-30,FND006,215014.55255165827,1849.792756342317,Completed
TX00094,2024-09-30,FND004,17773.186491458033,27.795110115151545,Completed
TX00095,2024-03-31,FND001,386157.00536462903,686.5182253014469,Completed
TX00096,2023-07-31,FND008,274611.9712794857,590.9358194929282,Completed
TX00097,2024-09-30,FND010,209977.86621800653,701.6242666538217,Completed
TX00098,2024-07-31,FND003,362852.7080480063,987.2192820688758,Completed
TX00099,2025-09-30,FND005,304655.10907553684,1262.9652262718814,Completed
TX00100,2024-10-31,FND004,209576.97700137168,377.146807014986,Completed
TX00101,2025-04-30,FND001,490277.8941785519,1493.7225329026587,Completed
TX00102,2025-10-31,FND009,396058.2942382225,2352.407213971117,Completed
TX00103,2023-05-31,FND006,423612.44531619136,2057.7715525706103,Pending
TX00104,2024-10-31,FND009,334842.146327225,1728.0064872741523,Completed
TX00105,2025-11-30,FND008,56856.027583743635,239.00911521976954,Completed
TX00106,2024-08-31,FND001,101480.52728585122,337.68533550975843,Completed
TX00107,2024-09-30,FND004,378619.0013386289,2148.4632002517046,Completed
TX00108,2025-04-30,FND004,435418.63409795746,1371.2055157856103,Completed
